what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.2.201.v20080702_34x,org.eclipse.ui.intro,1423770918881
started,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1423770918881
started,bundle,org.eclipse.ui.navigator,3.3.101.M20080827-0800,org.eclipse.ui.navigator,1423770918881
started,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1423770918881
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1423770918882
started,bundle,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views,1423770918882
started,bundle,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,org.eclipse.ui.workbench,1423770918882
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1423770918883
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1423770918883
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1423770918884
started,bundle,org.maven.ide.components.maven_model_edit,1.0.0.20080905-0917,org.maven.ide.components.maven_model_edit,1423770918884
started,bundle,org.maven.ide.eclipse,0.9.6.20080905-0917,org.maven.ide.eclipse,1423770918884
started,bundle,org.maven.ide.eclipse.mylyn,0.9.5.20080717-1820,org.maven.ide.eclipse.mylyn,1423770918884
started,bundle,org.maven.ide.eclipse.mylyn3,0.9.6.20080905-0917,org.maven.ide.eclipse.mylyn3,1423770918884
started,bundle,com.adobe.flexbuilder.apollo,3.0.214193,com.adobe.flexbuilder.apollo,1423770918884
started,bundle,com.adobe.flexbuilder.debug,3.0.214193,com.adobe.flexbuilder.debug,1423770918885
started,bundle,com.adobe.flexbuilder.multisdk,3.0.214193,com.adobe.flexbuilder.multisdk,1423770918885
started,bundle,com.adobe.flexbuilder.project,3.0.214193,com.adobe.flexbuilder.project,1423770918885
started,bundle,com.adobe.flexbuilder.utils.osnative,3.0.214193,com.adobe.flexbuilder.utils.osnative,1423770918885
started,bundle,org.eclipse.jst.j2ee.ui,1.1.203.v200809102205,org.eclipse.jst.j2ee.ui,1423770918886
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.200.v200805140020,org.eclipse.jst.j2ee.webservice.ui,1423770918886
started,bundle,org.eclipse.wst.common.emf,1.1.202.v200809111955,org.eclipse.wst.common.emf,1423770918886
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.201.v200808071700,org.eclipse.wst.common.emfworkbench.integration,1423770918887
started,bundle,org.eclipse.wst.common.frameworks,1.1.200.v200805140020,org.eclipse.wst.common.frameworks,1423770918887
started,bundle,org.eclipse.wst.common.modulecore,1.1.203.v200809110700,org.eclipse.wst.common.modulecore,1423770918887
