what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1423771026749
started,bundle,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui,1423771026759
started,bundle,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.ui,1423771026760
started,bundle,org.eclipse.jst.jsp.core,1.2.110.v200809120122,org.eclipse.jst.jsp.core,1423771026788
started,bundle,org.eclipse.wst.wsdl.validation,1.1.302.v200807240215,org.eclipse.wst.wsdl.validation,1423771026831
started,bundle,org.eclipse.wst.xsd.core,1.1.301.v200807240448,org.eclipse.wst.xsd.core,1423771026835
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1423771026975
started,bundle,org.maven.ide.eclipse.jdt,0.9.6.20080905-0917,org.maven.ide.eclipse.jdt,1423771026986
started,bundle,com.adobe.flexbuilder.editors.derived,3.0.214193,com.adobe.flexbuilder.editors.derived,1423771027650
started,bundle,com.adobe.flexbuilder.ajaxbridge,3.0.214193,com.adobe.flexbuilder.ajaxbridge,1423771027656
started,bundle,com.adobe.flexbuilder.editors.actionscript,3.0.214193,com.adobe.flexbuilder.editors.actionscript,1423771027714
started,bundle,com.adobe.flexbuilder.codemodel,3.0.214193,com.adobe.flexbuilder.codemodel,1423771027881
started,bundle,com.adobe.flexbuilder.editors.mxml,3.0.214193,com.adobe.flexbuilder.editors.mxml,1423771027881
started,bundle,com.adobe.flexbuilder.importartwork,3.0.214193,com.adobe.flexbuilder.importartwork,1423771027881
started,bundle,com.adobe.flexbuilder.editors.css,3.0.214193,com.adobe.flexbuilder.editors.css,1423771027908
started,bundle,com.adobe.flexbuilder.editors.common,3.0.214193,com.adobe.flexbuilder.editors.common,1423771027936
started,bundle,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,com.android.ide.eclipse.ddms,1423771029883
started,bundle,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,com.android.ide.eclipse.adt,1423771029915
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1423771029999
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1423771030001
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1423771042267
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1423771042271
opened,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1423771042296
opened,view,org.eclipse.mylyn.tasks.ui,3.0.4.v20090122-1000-e3x,org.eclipse.mylyn.tasks.ui.views.tasks,1423771042545
activated,perspective,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1423771042574
